claim_id,claim,claim_class,evidence_level,source_pointer,source,confidence,applicability,prohibited_inferences,status,target_reference
MTH-007,Auto-registered from core/design-methodology.md,GOVERNING,G,core/design-methodology.md,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,core/design-methodology.md
MTH-008,Auto-registered from core/design-methodology.md,GOVERNING,G,core/design-methodology.md,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,core/design-methodology.md
MTH-009,Auto-registered from core/design-methodology.md,GOVERNING,G,core/design-methodology.md,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,core/design-methodology.md
MTH-010,Auto-registered from core/design-methodology.md,GOVERNING,G,core/design-methodology.md,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,core/design-methodology.md
MTH-014,Auto-registered from core/design-methodology.md,GOVERNING,G,core/design-methodology.md,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,core/design-methodology.md
BND-001,Auto-registered from core/evidence-policy.md,GOVERNING,G,core/evidence-policy.md,REF-CORE-EVIDENCE-POLICY,high,boundary,不得反向推导为运行禁止,GOVERNING,core/evidence-policy.md
BND-001,Auto-registered from rules/README.md,GOVERNING,G,rules/README.md,REF-RULES-README,high,boundary,不得反向推导为运行禁止,GOVERNING,rules/README.md
BND-002,Auto-registered from prompt/prompt-contract.md,GOVERNING,G,prompt/prompt-contract.md,REF-PROMPT-PROMPT-CONTRACT,high,boundary,不得反向推导为运行禁止,GOVERNING,prompt/prompt-contract.md
BND-002,Auto-registered from quality/failure-library.md,GOVERNING,G,quality/failure-library.md,REF-QUALITY-FAILURE-LIBRARY,high,boundary,不得反向推导为运行禁止,GOVERNING,quality/failure-library.md
BND-002,Auto-registered from rules/README.md,GOVERNING,G,rules/README.md,REF-RULES-README,high,boundary,不得反向推导为运行禁止,GOVERNING,rules/README.md
BND-003,Auto-registered from prompt/prompt-contract.md,GOVERNING,G,prompt/prompt-contract.md,REF-PROMPT-PROMPT-CONTRACT,high,boundary,不得反向推导为运行禁止,GOVERNING,prompt/prompt-contract.md
BND-003,Auto-registered from quality/failure-library.md,GOVERNING,G,quality/failure-library.md,REF-QUALITY-FAILURE-LIBRARY,high,boundary,不得反向推导为运行禁止,GOVERNING,quality/failure-library.md
BND-003,Auto-registered from rules/README.md,GOVERNING,G,rules/README.md,REF-RULES-README,high,boundary,不得反向推导为运行禁止,GOVERNING,rules/README.md
MTH-001,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-001,Auto-registered from iterations/round-1/agent-1-design.md,GOVERNING,G,iterations/round-1/agent-1-design.md,REF-ITERATIONS-ROUND-1-AGENT-1-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-1-design.md
MTH-001,Auto-registered from iterations/round-1/agent-3-design.md,GOVERNING,G,iterations/round-1/agent-3-design.md,REF-ITERATIONS-ROUND-1-AGENT-3-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-3-design.md
MTH-001,Auto-registered from iterations/round-1/design-output.md,GOVERNING,G,iterations/round-1/design-output.md,REF-ITERATIONS-ROUND-1-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/design-output.md
MTH-001,Auto-registered from iterations/round-2/agent-1-design.md,GOVERNING,G,iterations/round-2/agent-1-design.md,REF-ITERATIONS-ROUND-2-AGENT-1-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-2/agent-1-design.md
MTH-001,Auto-registered from iterations/round-2/design-output.md,GOVERNING,G,iterations/round-2/design-output.md,REF-ITERATIONS-ROUND-2-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-2/design-output.md
MTH-002,Auto-registered from cases/README.md,GOVERNING,G,cases/README.md,REF-CASES-README,high,method,不得反向推导为运行禁止,GOVERNING,cases/README.md
MTH-002,Auto-registered from cases/pitfall-011-form-before-relation.md,GOVERNING,G,cases/pitfall-011-form-before-relation.md,REF-CASES-PITFALL-011-FORM-BEFORE-RELATION,high,method,不得反向推导为运行禁止,GOVERNING,cases/pitfall-011-form-before-relation.md
MTH-002,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-002,Auto-registered from guides/curve-design-rules.md,GOVERNING,G,guides/curve-design-rules.md,REF-GUIDES-CURVE-DESIGN-RULES,high,method,不得反向推导为运行禁止,GOVERNING,guides/curve-design-rules.md
MTH-002,Auto-registered from iterations/round-1/agent-1-design.md,GOVERNING,G,iterations/round-1/agent-1-design.md,REF-ITERATIONS-ROUND-1-AGENT-1-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-1-design.md
MTH-002,Auto-registered from iterations/round-1/agent-2-design.md,GOVERNING,G,iterations/round-1/agent-2-design.md,REF-ITERATIONS-ROUND-1-AGENT-2-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-2-design.md
MTH-002,Auto-registered from iterations/round-1/agent-3-design.md,GOVERNING,G,iterations/round-1/agent-3-design.md,REF-ITERATIONS-ROUND-1-AGENT-3-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-3-design.md
MTH-002,Auto-registered from iterations/round-1/agent-5-design.md,GOVERNING,G,iterations/round-1/agent-5-design.md,REF-ITERATIONS-ROUND-1-AGENT-5-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-5-design.md
MTH-002,Auto-registered from iterations/round-1/design-output.md,GOVERNING,G,iterations/round-1/design-output.md,REF-ITERATIONS-ROUND-1-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/design-output.md
MTH-002,Auto-registered from iterations/round-2/agent-1-design.md,GOVERNING,G,iterations/round-2/agent-1-design.md,REF-ITERATIONS-ROUND-2-AGENT-1-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-2/agent-1-design.md
MTH-002,Auto-registered from iterations/round-2/design-output.md,GOVERNING,G,iterations/round-2/design-output.md,REF-ITERATIONS-ROUND-2-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-2/design-output.md
MTH-003,Auto-registered from cases/pitfall-032-cultural-hybrid-explicit-trap.md,GOVERNING,G,cases/pitfall-032-cultural-hybrid-explicit-trap.md,REF-CASES-PITFALL-032-CULTURAL-HYBRID-EXPLICIT-TRAP,high,method,不得反向推导为运行禁止,GOVERNING,cases/pitfall-032-cultural-hybrid-explicit-trap.md
MTH-003,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-003,Auto-registered from direction/diversity-gate.md,GOVERNING,G,direction/diversity-gate.md,REF-DIRECTION-DIVERSITY-GATE,high,method,不得反向推导为运行禁止,GOVERNING,direction/diversity-gate.md
MTH-003,Auto-registered from guides/cultural-hybrid-design.md,GOVERNING,G,guides/cultural-hybrid-design.md,REF-GUIDES-CULTURAL-HYBRID-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,guides/cultural-hybrid-design.md
MTH-003,Auto-registered from iterations/round-1/agent-3-design.md,GOVERNING,G,iterations/round-1/agent-3-design.md,REF-ITERATIONS-ROUND-1-AGENT-3-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-3-design.md
MTH-003,Auto-registered from iterations/round-1/agent-5-design.md,GOVERNING,G,iterations/round-1/agent-5-design.md,REF-ITERATIONS-ROUND-1-AGENT-5-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-5-design.md
MTH-003,Auto-registered from iterations/round-1/design-output.md,GOVERNING,G,iterations/round-1/design-output.md,REF-ITERATIONS-ROUND-1-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/design-output.md
MTH-004,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-004,Auto-registered from iterations/round-1/agent-3-design.md,GOVERNING,G,iterations/round-1/agent-3-design.md,REF-ITERATIONS-ROUND-1-AGENT-3-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-3-design.md
MTH-004,Auto-registered from iterations/round-1/design-output.md,GOVERNING,G,iterations/round-1/design-output.md,REF-ITERATIONS-ROUND-1-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/design-output.md
MTH-004,Auto-registered from iterations/round-2/design-output.md,GOVERNING,G,iterations/round-2/design-output.md,REF-ITERATIONS-ROUND-2-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-2/design-output.md
MTH-005,Auto-registered from cases/pitfall-012-material-without-duty.md,GOVERNING,G,cases/pitfall-012-material-without-duty.md,REF-CASES-PITFALL-012-MATERIAL-WITHOUT-DUTY,high,method,不得反向推导为运行禁止,GOVERNING,cases/pitfall-012-material-without-duty.md
MTH-005,Auto-registered from cases/pitfall-014-color-as-premium.md,GOVERNING,G,cases/pitfall-014-color-as-premium.md,REF-CASES-PITFALL-014-COLOR-AS-PREMIUM,high,method,不得反向推导为运行禁止,GOVERNING,cases/pitfall-014-color-as-premium.md
MTH-005,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-005,Auto-registered from guides/cultural-hybrid-design.md,GOVERNING,G,guides/cultural-hybrid-design.md,REF-GUIDES-CULTURAL-HYBRID-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,guides/cultural-hybrid-design.md
MTH-005,Auto-registered from guides/curve-design-rules.md,GOVERNING,G,guides/curve-design-rules.md,REF-GUIDES-CURVE-DESIGN-RULES,high,method,不得反向推导为运行禁止,GOVERNING,guides/curve-design-rules.md
MTH-005,Auto-registered from guides/hard-soft-contrast.md,GOVERNING,G,guides/hard-soft-contrast.md,REF-GUIDES-HARD-SOFT-CONTRAST,high,method,不得反向推导为运行禁止,GOVERNING,guides/hard-soft-contrast.md
MTH-005,Auto-registered from guides/manufacturing-feasibility.md,GOVERNING,G,guides/manufacturing-feasibility.md,REF-GUIDES-MANUFACTURING-FEASIBILITY,high,method,不得反向推导为运行禁止,GOVERNING,guides/manufacturing-feasibility.md
MTH-005,Auto-registered from iterations/round-1/agent-3-design.md,GOVERNING,G,iterations/round-1/agent-3-design.md,REF-ITERATIONS-ROUND-1-AGENT-3-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-3-design.md
MTH-005,Auto-registered from iterations/round-1/agent-5-design.md,GOVERNING,G,iterations/round-1/agent-5-design.md,REF-ITERATIONS-ROUND-1-AGENT-5-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-5-design.md
MTH-005,Auto-registered from iterations/round-1/design-output.md,GOVERNING,G,iterations/round-1/design-output.md,REF-ITERATIONS-ROUND-1-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/design-output.md
MTH-005,Auto-registered from iterations/round-2/design-output.md,GOVERNING,G,iterations/round-2/design-output.md,REF-ITERATIONS-ROUND-2-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-2/design-output.md
MTH-006,Auto-registered from cases/pitfall-021-hidden-interaction.md,GOVERNING,G,cases/pitfall-021-hidden-interaction.md,REF-CASES-PITFALL-021-HIDDEN-INTERACTION,high,method,不得反向推导为运行禁止,GOVERNING,cases/pitfall-021-hidden-interaction.md
MTH-006,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-006,Auto-registered from guides/hard-soft-contrast.md,GOVERNING,G,guides/hard-soft-contrast.md,REF-GUIDES-HARD-SOFT-CONTRAST,high,method,不得反向推导为运行禁止,GOVERNING,guides/hard-soft-contrast.md
MTH-006,Auto-registered from guides/interaction-visibility.md,GOVERNING,G,guides/interaction-visibility.md,REF-GUIDES-INTERACTION-VISIBILITY,high,method,不得反向推导为运行禁止,GOVERNING,guides/interaction-visibility.md
MTH-006,Auto-registered from iterations/round-1/agent-3-design.md,GOVERNING,G,iterations/round-1/agent-3-design.md,REF-ITERATIONS-ROUND-1-AGENT-3-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-3-design.md
MTH-006,Auto-registered from iterations/round-1/agent-5-design.md,GOVERNING,G,iterations/round-1/agent-5-design.md,REF-ITERATIONS-ROUND-1-AGENT-5-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-5-design.md
MTH-006,Auto-registered from iterations/round-1/design-output.md,GOVERNING,G,iterations/round-1/design-output.md,REF-ITERATIONS-ROUND-1-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/design-output.md
MTH-006,Auto-registered from iterations/round-2/design-output.md,GOVERNING,G,iterations/round-2/design-output.md,REF-ITERATIONS-ROUND-2-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-2/design-output.md
MTH-007,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-007,Auto-registered from guides/manufacturing-feasibility.md,GOVERNING,G,guides/manufacturing-feasibility.md,REF-GUIDES-MANUFACTURING-FEASIBILITY,high,method,不得反向推导为运行禁止,GOVERNING,guides/manufacturing-feasibility.md
MTH-007,Auto-registered from iterations/round-1/agent-3-design.md,GOVERNING,G,iterations/round-1/agent-3-design.md,REF-ITERATIONS-ROUND-1-AGENT-3-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-3-design.md
MTH-007,Auto-registered from iterations/round-1/design-output.md,GOVERNING,G,iterations/round-1/design-output.md,REF-ITERATIONS-ROUND-1-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/design-output.md
MTH-008,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-008,Auto-registered from guides/interaction-visibility.md,GOVERNING,G,guides/interaction-visibility.md,REF-GUIDES-INTERACTION-VISIBILITY,high,method,不得反向推导为运行禁止,GOVERNING,guides/interaction-visibility.md
MTH-008,Auto-registered from iterations/round-1/agent-3-design.md,GOVERNING,G,iterations/round-1/agent-3-design.md,REF-ITERATIONS-ROUND-1-AGENT-3-DESIGN,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/agent-3-design.md
MTH-008,Auto-registered from iterations/round-1/design-output.md,GOVERNING,G,iterations/round-1/design-output.md,REF-ITERATIONS-ROUND-1-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-1/design-output.md
MTH-008,Auto-registered from iterations/round-2/design-output.md,GOVERNING,G,iterations/round-2/design-output.md,REF-ITERATIONS-ROUND-2-DESIGN-OUTPUT,high,method,不得反向推导为运行禁止,GOVERNING,iterations/round-2/design-output.md
MTH-009,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-009,Auto-registered from guides/curve-design-rules.md,GOVERNING,G,guides/curve-design-rules.md,REF-GUIDES-CURVE-DESIGN-RULES,high,method,不得反向推导为运行禁止,GOVERNING,guides/curve-design-rules.md
MTH-010,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-011,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-013,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-014,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
MTH-016,Auto-registered from core/ive-thinking-models.md,GOVERNING,G,core/ive-thinking-models.md,REF-CORE-IVE-THINKING-MODELS,high,method,不得反向推导为运行禁止,GOVERNING,core/ive-thinking-models.md
VIS-003,Auto-registered from quality/failure-library.md,GOVERNING,G,quality/failure-library.md,REF-QUALITY-FAILURE-LIBRARY,high,prompt_constraint,不得反向推导为运行禁止,GOVERNING,quality/failure-library.md
BND-002,Auto-registered from known-gaps.md (mentions BND-002 in cleanup log),PROHIBITED,G,known-gaps.md:111,REF-EVIDENCE-001,high,all-design-tasks,不得反向作为形态处方,GOVERNING,known-gaps.md
MTH-005,Auto-registered from known-gaps.md (mentions MTH-005 in cleanup log),GOVERNING,G,known-gaps.md:111,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,known-gaps.md
